product_id,product_name,category,price
1,Oil Gadget,Clothing,10.52
2,Tree Tool,Beauty,146.59
3,Truth Item,Home,79.84
4,Including Gadget,Books,231.53
5,Treat Thing,Home,84.28
6,Note Stuff,Clothing,354.99
7,Word Item,Clothing,157.65
8,According Item,Home,259.02
9,Play Gadget,Beauty,412.04
10,Let Item,Clothing,25.21
11,Mind Gadget,Beauty,488.77
12,Condition Item,Clothing,288.86
13,Mother Thing,Books,132.15
14,Miss Item,Electronics,359.56
15,Husband Item,Beauty,282.18
16,Itself Thing,Books,396.82
17,All Thing,Home,450.21
18,Major Thing,Beauty,55.31
19,Tree Thing,Books,366.94
20,Choice Gadget,Home,334.12
21,Eye Item,Books,79.89
22,Across Item,Beauty,412.92
23,Type Tool,Beauty,148.26
24,Consumer Gadget,Home,448.84
25,End Gadget,Home,125.55
26,Save Item,Clothing,274.94
27,Set Thing,Beauty,339.74
28,Sound Tool,Home,360.37
29,Pass Gadget,Electronics,175.47
30,Us Gadget,Clothing,190.37
31,Gas Thing,Books,287.98
32,Modern Thing,Home,208.8
33,Financial Thing,Beauty,242.16
34,Real Thing,Beauty,270.74
35,Morning Thing,Clothing,493.88
36,Begin Thing,Electronics,62.71
37,Moment Thing,Home,280.89
38,Option Tool,Home,123.7
39,Box Tool,Clothing,249.24
40,Your Tool,Books,302.43
41,Create Tool,Beauty,345.81
42,Goal Gadget,Books,222.27
43,Section Stuff,Electronics,147.8
44,Left Stuff,Beauty,392.44
45,Including Gadget,Books,227.83
46,Tend Tool,Books,325.6
47,Figure Tool,Electronics,279.86
48,Who Gadget,Books,432.74
49,Democrat Tool,Home,145.97
50,He Tool,Home,436.25
51,Beat Thing,Home,225.79
52,Thus Item,Home,151.78
53,Half Thing,Books,388.75
54,Wish Item,Beauty,26.43
55,Sort Tool,Beauty,432.75
56,Game Item,Books,140.75
57,Condition Stuff,Books,457.82
58,Various Thing,Clothing,46.62
59,Assume Gadget,Books,263.75
60,Body Tool,Books,404.45
61,Include Stuff,Clothing,486.78
62,Character Item,Home,468.34
63,Professional Stuff,Electronics,302.51
64,Policy Gadget,Electronics,105.96
65,Arrive Tool,Electronics,436.93
66,Treat Item,Home,235.64
67,Short Tool,Books,370.76
68,Good Stuff,Electronics,196.86
69,Condition Item,Books,247.47
70,Offer Tool,Books,320.01
71,Charge Tool,Clothing,341.65
72,Adult Tool,Home,23.73
73,Table Gadget,Clothing,256.35
74,Affect Item,Clothing,496.33
75,Involve Item,Home,268.93
76,Include Tool,Clothing,44.7
77,Charge Thing,Home,54.74
78,Set Item,Home,176.96
79,Those Tool,Clothing,461.36
80,Way Item,Home,337.2
81,Road Item,Beauty,274.08
82,Perform Tool,Electronics,24.09
83,Board Thing,Home,474.25
84,Kind Thing,Clothing,47.4
85,Until Thing,Beauty,89.88
86,Resource Item,Books,47.35
87,Measure Stuff,Books,167.77
88,Truth Tool,Beauty,83.58
89,Certain Tool,Electronics,308.55
90,Five Stuff,Books,313.4
91,Response Stuff,Books,358.89
92,Simple Item,Home,131.79
93,Entire Gadget,Clothing,154.26
94,Thus Thing,Electronics,53.86
95,Carry Item,Books,233.37
96,Anyone Tool,Beauty,60.93
97,Option Tool,Electronics,175.66
98,Word Item,Books,250.1
99,Everybody Gadget,Books,276.17
100,Seven Thing,Home,466.74
